sample_ID,sample_type,mean_E,std_E,mean_Fm,std_Fm,F14R,std_F14R,OCpetro_est
Bout1_peat_1818-1820,soil,200.79543,29.52551411,0.363799108,0.003340997,0.96620015,0.008286546,0.001474427
Bout1_psol_1820-1822,soil,178.1705777,20.01089168,0.366471961,0.000807984,0.977136485,0.003376958,0
Bout2_peat_1872-1874,soil,190.7270998,23.45279892,0.366214902,0.001383137,0.971345373,0.00420699,0.003912135
Bout2_psol_1874-1876,soil,179.6448149,19.73371438,0.361721061,0.000912799,0.973486074,0.002735314,0
CaSa_soil_cul_fume,soil,171.6223676,22.41362669,0.890915607,0.02179907,0.447693777,0.074667659,0
CaSa_soil_cul_raw,soil,170.5886747,29.6259139,0.825337062,0.010644158,0.356991203,0.030430708,0.118774933
CaSa_soil_nat_fume,soil,162.2507998,21.57731944,0.996149215,0.01090929,0.803068328,0.038243255,0
CaSa_soil_nat_raw,soil,160.8706975,20.50596135,1.030737887,0.013558921,0.904430429,0.037935378,0
CoDe_ND_bulk,riv_sed,169.2155196,22.64833388,0.193290235,0.000576294,0.471756189,0.00188674,0
CoDe_ND_D1,riv_sed,172.6221778,17.28652473,0.138974638,0.000527911,0.31388047,0.001946167,0.028355233
CoDe_ND_D2,riv_sed,165.1704211,21.60363197,0.203980394,0.000578964,0.545877084,0.001750196,0
CoDe_ND_D3,riv_sed,162.9762442,19.16493452,0.264991384,0.000685273,0.767406323,0.002178785,0
CoDe_ND_D4,riv_sed,172.1833359,26.7412298,0.247674214,0.00058158,0.272233565,0.001865306,0
CoRi_DOM_BRA001,dom,163.1975609,10.88882855,1.033858352,0.002620303,0.845562256,0.01381387,0
CoRi_DUM_40-100,soil,166.5242393,24.06422404,0.271380827,0.001665056,0.268634955,0.006718001,0.065980212
CoRi_Itk_330-340,soil,172.3980485,27.62946753,0.044711638,0.001636667,0.131367341,0.005730425,0.078356498
CoRi_Ivo_40-60,soil,169.2884589,24.59412392,0.400613567,0.001503362,0.320890378,0.006678005,0.067598229
CoRi_PPL_DOM,dom,160.2191977,15.55624953,1.184587108,0.001869529,0.942440184,0.006575112,0
CoRi_sed_BRA001,riv_sed,147.9739363,17.97602615,0.809767004,0.002210655,0.833951302,0.002760484,0
CoRi_sed_Cr-24,riv_sed,174.992246,24.70556579,0.287506252,0.001560294,0.312497974,0.007787696,0.088125432
HiSo_PL4169_6,soil,156.4915719,20.60422087,0.281917902,0.00045971,0.975748509,0.001431435,0
HiSo_PL4535_6,soil,152.5006302,18.76663034,0.297131832,0.000684011,0.894683616,0.002213118,0
HiSo_PL4535_8,soil,153.1007752,19.59345872,0.23557403,0.002810815,0.796110533,0.006939384,0
HiSo_PL4800_5,soil,141.9568455,13.94271206,0.435212388,0.000616682,0.873206417,0.001631719,0
HiSo_PL4865_5,soil,154.3334752,18.63799583,0.80345527,0.001041985,0.870472636,0.003323222,0
HiSo_PL4925_5,soil,170.8850299,21.85600109,0.756314817,0.000992046,0.822931009,0.002376268,0.012863362
HiSo_PuuEke_1,soil,163.054212,20.90448263,1.010047344,0.001536697,0.982964666,0.004062079,0
HiSo_PuuEke_2,soil,147.8968455,17.46570506,0.882355532,0.001130045,0.922078237,0.003997877,0
HiSo_PuuEke_4,soil,143.8720314,15.75001715,0.74953495,0.001422956,0.945523002,0.0040606,0
KoRi_sed_LO765,riv_sed,173.8777316,47.41752761,0.707608666,0.001407327,0.016219549,0.005373221,0.208642713
LaWi_sed_148-152,riv_sed,166.9411091,20.99241431,0.689446451,0.001078353,0.746792014,0.003438705,0
LaWi_sed_188-192,riv_sed,162.3397719,22.73494952,0.689992879,0.000988341,0.705147534,0.003599672,0
LaWi_sed_28-32,riv_sed,163.1577696,24.79291049,0.876672242,0.001445812,0.75837898,0.004377372,0
LaWi_sed_68-72,riv_sed,165.1982511,23.78192822,0.856632951,0.000898916,0.706239142,0.003469956,0
LaWi_sed_88-92,riv_sed,163.4181987,24.76378087,0.798605169,0.000932683,0.596268286,0.003815509,0
LiWu_sed_H27,riv_sed,184.4901665,29.94785179,0.309566516,0.001936063,0.013944183,0.008148009,0.458148195
LiWu_sed_LW1,riv_sed,192.7817911,29.40470883,0.174868399,0.001305635,0.007479073,0.004205442,0.607939756
LiWu_sed_LW11,riv_sed,203.3016296,20.28110139,0.085542199,0.001006386,0.01211145,0.004278909,0.684907804
LiWu_sed_LW13,riv_sed,199.2181026,20.99833558,0.049749263,0.001037779,0.005246179,0.005362712,0.58390932
LiWu_sed_LW17,riv_sed,190.4372448,30.58519508,0.287939093,0.001416294,0.001912697,0.005513218,0.526390481
LiWu_sed_LW21,riv_sed,200.9523886,22.83645694,0.0680133,0.001009348,0.002101802,0.005069089,0.633228736
LiWu_sed_LW3,riv_sed,199.0754423,20.55988595,0.073497315,0.001131122,0.001244325,0.004923934,0.700264105
Mar_PPL_DOM,dom,165.637751,18.84927698,0.499671588,0.001188798,0.933269838,0.004233677,0
MaRi_2005_3m,riv_sed,160.3117116,28.12527181,0.671423604,0.002882735,0.222606447,0.010615211,0
MiDe_inter_2009,riv_sed,176.952251,25.58751999,0.780337578,0.000952683,0.70546213,0.003231859,0.05198169
MiDe_surf_2009,riv_sed,177.8317178,26.37089308,0.815825891,0.00103351,0.771295202,0.003393936,0.064296386
MiRi_deep_2008,riv_sed,173.1872539,25.42550118,0.785398344,0.002287535,0.820266434,0.006056478,0
MiRi_deep_2009,riv_sed,168.0551667,23.90550989,0.853685225,0.0011526,0.817439114,0.004110595,0
MiRi_inter_2008,riv_sed,176.7062015,25.65567039,0.788714899,0.001841741,0.788746506,0.005659928,0.052252818
MiRi_surf_2008,riv_sed,170.9145303,25.03307649,0.778063987,0.002187025,0.777504837,0.005843752,0
MiRi_surf_2009,riv_sed,168.9759287,24.46260493,0.914894216,0.001202308,0.867800854,0.003544429,0
NaRi_sed_LO742,riv_sed,190.6735926,31.5421932,0.328010029,0.000699385,0.024850912,0.00248979,0.385014199
NaRi_sed_oxPB60,riv_sed,194.6149057,39.32200311,0.343584803,0.00083108,0.015209294,0.00398833,0.462753825
NaRi_sed_pyrPB60,riv_sed,189.8506832,38.30863735,0.330258892,0.001927965,0.028962856,0.007163208,0.428017904
SiLa_L1_0-2,mar_sed,171.4157884,25.71113849,0.76558901,0.001975322,0.695672826,0.006497816,0.001848489
SiLa_L1_28-30,mar_sed,170.846869,26.92887499,0.760615255,0.002135352,0.801014688,0.008325983,0.015758199
SiLa_L3_0-2_2,mar_sed,164.1461667,24.79046055,0.509927262,0.001570684,0.507054379,0.006971114,0.040074393
SiLa_L3_bulk,mar_sed,172.1215531,25.27817681,0.394776244,0.000748604,0.271581389,0.003130823,0.089718202
SiLa_L3_D1,mar_sed,193.0742458,31.51150945,0.480872821,0.001024967,0.634735277,0.003612758,0.073446556
SiLa_L3_D2,mar_sed,188.9740221,26.52422055,0.438131916,0.001074077,0.672631053,0.004171339,0.11172013
SiLa_L3_D3,mar_sed,173.0178304,23.42858842,0.481189965,0.002185593,0.961375819,0.004219288,0
SiLa_L3_D4,mar_sed,174.8941929,28.15392293,0.322111094,0.00081585,0.202472053,0.002916528,0
SoRi_2005_3m,riv_sed,151.4758707,20.87362125,0.732092972,0.001025698,0.717471535,0.003149475,0
SuRi_filt_DOM,dom,164.100866,12.31018604,1.060446435,0.001065485,0.982193492,0.005043471,0
TaRi_2014_3m,riv_sed,151.4478967,17.77609169,0.924332515,0.001697872,0.856176859,0.005277458,0
TiSo_TS1,soil,158.2352848,26.35727595,0.78240638,0.003083927,0.427476795,0.009660992,0
TiSo_TS10,soil,173.3098971,37.47248298,0.781953318,0.004398952,0.205880792,0.010675963,0.222563252
TiSo_TS11,soil,214.8265123,23.35537222,0.098797617,0.00468968,0.019323362,0.011203497,0.710303616
TiSo_TS13,soil,184.0966979,34.74718381,0.44435856,0.004138623,0.069892152,0.011862631,0.403652937
TiSo_TS17,soil,173.4067224,31.94953859,0.293695514,0.00278592,0.257647267,0.011103395,0
TiSo_TS18,soil,132.4640707,15.70960036,1.034761054,0.004033831,0.825689764,0.012821789,0
TiSo_TS2,soil,162.2339146,30.51065109,0.610402726,0.00283349,0.468306685,0.009913349,0.040062774
TiSo_TS20,soil,158.9730911,34.71564914,0.658083705,0.002553425,0.673948974,0.009224533,0
TiSo_TS3,soil,168.1451884,30.57569876,0.516945067,0.00241581,0.419708677,0.009166775,0
TiSo_TS4,soil,178.8864239,29.72586361,0.20796355,0.002666521,0.158187701,0.006725125,0
TiSo_TS5,soil,138.230627,14.58123955,0.947002112,0.003233269,0.628065785,0.010756758,0
TiSo_TS6,soil,148.7269921,23.65334054,0.921474665,0.00371605,0.570315902,0.010610752,0
YuRi_PPL_DOM,dom,163.1583226,14.93373577,1.023360905,0.001709979,0.859530154,0.005555625,0
