sample_ID,1,2,3,4,5,6,7,8,9,10
AmRi_2005_3m,134.36621980980718,150.63585811021633,172.17749276655618,198.51454414646605,,,,,,
MaRi_2005_3m,112.8611739535565,128.16653063494562,140.30381540751372,177.57884613017345,,,,,,
TaRi_2014_3m,134.44531242740456,143.58578672384473,160.04678807418577,183.9386272467033,,,,,,
SoRi_2005_3m,132.0330798652491,142.61616411778783,154.27978837089097,163.35853667492793,184.52947647143242,,,,,
NaRi_sed_pyrPB60,140.76002917546705,160.88805834804168,197.89747591259896,220.8443289693969,245.38685853731005,,,,,
NaRi_sed_LO742,141.39350453012923,159.5999496205894,181.924379013511,195.28569057133825,205.28009278762391,216.25142923502233,241.13628030740918,,,
Ant_05026E_8E24-26,148.13296812037328,160.62481414135635,176.86638370647918,192.48228647618276,218.7464721757154,,,,,
NaRi_sed_oxPB60,134.38711040562745,147.9111637510681,158.96421883298316,173.0650777625451,190.61127929871643,209.63241406757618,223.339131312503,231.46631685972048,260.5324225221679,
TiSo_TS1,129.43615676536055,142.2357519043472,148.67513504228808,159.09382355329316,173.66108749776575,203.51458506468725,,,,
TiSo_TS2,129.86092067104374,143.8873674523175,155.5906275935728,174.54397868235228,197.78317418547425,239.61050868874906,,,,
TiSo_TS3,134.157607133118,147.13237314739493,154.5274237841296,165.829606108418,181.88801593523633,218.91244728830836,,,,
TiSo_TS4,148.034819202353,175.8280762024902,214.33331445937844,,,,,,,
TiSo_TS5,114.77476592124941,128.0346112274604,135.11517762618348,137.71440342637328,142.41708100093362,152.5161131590329,176.2047999454117,,,
TiSo_TS6,126.86977012659713,137.9782102515047,143.64554196067402,149.47454466829004,161.95500039019737,202.38147370950026,,,,
TiSo_TS10,138.76390829372804,155.49466856394696,178.63387928924146,224.90192521636112,,,,,,
TiSo_TS11,150.66727576454193,208.22039377508594,220.43255689209144,229.29468288526024,,,,,,
TiSo_TS13,142.82867986403124,177.33104829065545,201.6224544401362,240.33805815294082,,,,,,
TiSo_TS17,135.5526247163612,151.79050273604864,166.7185588288382,188.08954266311102,224.34442811225352,,,,,
TiSo_TS18,110.19200821301267,121.02586455930219,129.36994698876734,133.57956518695335,141.80693911963635,170.93327530636716,,,,
TiSo_TS20,119.76247070249366,134.56687503644818,142.22219956497332,152.30833294839053,174.06133293345002,213.939901801821,,,,
